TWS	OptUpTWA	OptDnTWA	MaxUpSpeed	MaxDnSpeed  MaxUpVMG    MaxDnVMG    SailingStateThreshhold

4.0	    46.8	140.7	3.583	3.263	2.453	2.527   100
6.0	    45.2	143.2	4.977	4.672	3.510	3.739   90
8.0	    43.4	146.3	5.878	5.775	4.281	4.806   90
10.0	41.7	149.9	6.375	6.574	4.764	5.685   80
12.0	40.4	155.4	6.611	6.993	5.037	6.358   90
14.0	39.4	184.8	6.734	7.195	5.207	6.943   100
16.0	38.8	168.3	6.800	7.600	5.302	7.441   100
20.0	39.0	170.5	6.877	8.384	5.348	8.268   110
25.0	40.5	168.3	6.931	9.458	5.271	9.263   110
30.0	42.9	157.3	6.948	11.617	5.089	10.716  120
